지침내용,공사종류,지침유형
"해체된 잔재물, 건설자재, 건설장비 등 중량물 양중작업에 사용되는 와이어로프, 체인 등은 안전기준에 적합한 것을 사용하고 최대허용하중이 표시된 제품을 사용하여야 한다.",건축,예방 조치
강관비계 조립 및 해체작업 시에는 강관비계 설치 및 사용안전 지침의 규정에 따른다.,건축,점검 사항
"이동식비계 작업 시 비계의 최상부에는 작업발판 및 안전난간을 설치하고, 비계는 아웃트리거)를 설치하는 등 전도방지조치를 하여야 한다.",건축,예방 조치
"탱크, 맨홀, 피트 등 환기가 불량한 장소에서 작업 시 환기설비를 설치하여 적정한 공기상태를 유지하고 송기마스크 등 호흡용 보호구를 착용하여야 한다.",건축,예방 조치
"용접 또는 용단작업 시 용접불꽃의 비산에 의한 화재, 화상 등의 재해를 예방하기 위하여 작업장 주위의 인화성 물질을 제거하고 불꽃 비산방지포를 설치하여야 한다. ",건축,예방 조치
또한 작업장에 소화기를 비치한 후 소화기 사용법에 대한 안전교육을 실시하여야 한다.,건축,예방 조치
"산소, LPG 등 가스통은 전도방지조치 후 사용하고 용기의 온도를 40도 이하로 유지하여야 한다. ",건축,예방 조치
"또한 환기가 충분한 장소에 보관하고 화약류 또는 가연성 물질, 화기 등을 취급하는 장소에는 저장 및 사용을 금지하여야 한다.",건축,위험 경고
"드릴(Drill), 그라인더 등 전동 기계?기구는 누전차단기를 설치하고 접지한 후 사용하여야 한다.",건축,예방 조치
또한 전선은 피복이 잘 벗겨지지 않는 캡타이어 케이블(Cabtyre cable)을 사용하여야 한다.,건축,예방 조치
"굴삭기, 로더(Loader), 지게차 등 건설기계는 감김?끼임, 낙하?비래 등의 재해를 예방하기 위하여 헤드가드(Head guard)를 부착한 상태로 작업하여야 한다.",건축,예방 조치
"건설자재, 장비, 폐기물 등 중량물을 인력으로 운반할 때에는 아래 <표 1>을 참조하여 작업하여야 한다.",건축,예방 조치
또한 무게중심을 낮추고 대상물에 몸을 밀착하는 등 근골격계 부담작업에 의한 건강장해를 예방하여야 한다.,건축,예방 조치
"작업발판, 파이프서포트(Pipe support), 이동식비계 등의 가설기자재는 심하게 변형, 손상되지 않고 안전인증기준 등에 적합한 제품을 사용하여야 한다.",건축,점검 사항
"야간작업에 종사하는 근로자는 안전모, 안전화, 작업복, 야광반사조끼를 반드시 착용하고 작업의 종류에 따라 필요시에는 안전대, 방진마스크, 정전기 방지복 등을 착용시켜야 한다.",공통,예방 조치
"근로자의 위치식별이 용이하도록 안전모와 작업복(또는 조끼)에는 적정한 휘도가 있는 반사물(색상-은색, 선의 폭-10㎜이상)을 부착하도록 한다.",공통,예방 조치
작업시에는 가급적 2인 이상이 함께 작업하도록 한다.,공통,예방 조치
야간작업 안전수칙을 제정하여 근로자가 작업 전에 숙지하도록 게시 및 주지시켜야 한다.,공통,예방 조치
안전표지판은 근로자가 알아보기 쉬운 장소에 설치하여야 한다.,공통,예방 조치
"야간작업에 적용되는 모든 안전표지판 및 도로교통표지판은 반사용으로 제작?설 치하고, 적절한 조명을 주어 설치위치 및 내용의 식별이 가능하도록 하여야 한다.",공통,점검 사항
도로교통표지판은 관련 법규에 맞도록 제작?설치되어 작업차량 및 일반 통행차 량의 소통에 지장이 없도록 하여야 한다.,공통,예방 조치
작업을 하는 이동식 장비에는 경광등을 부착하고 근로자가 쉽게 장비를 식별할 수 있도록 형광벨트를 하여야 한다.,공통,예방 조치
장비가 통행하는 통행로에는 점멸등을 설치하여 쉽게 식별할 수 있도록 한다.,공통,점검 사항
작업시 근로자는 지정된 안전통로를 사용하여야 한다.,공통,예방 조치
안전통로에는 적절한 조명을 유지시켜야 하며 통행에 지장을 주는 물건이나 돌출물이 없도록 하여야 한다.,공통,점검 사항
"다만, 장애물을 제거하는 것이 곤란한 경우에는 근로자에게 발생할 수 있는 부상 등의 위험을 방지하기 위한 안전 조치를 하여야 한다.",공통,예방 조치
한번 설치된 안전통로는 작업종료시까지 유지시켜야 하며 옮길 경우는 사전에 근로자들에게 주지시켜야 한다.,공통,점검 사항
작업시 작업발판은 빈틈이 없이 설치하여야 한다.,공통,예방 조치
작업발판의 가장자리나 안전난간은 식별이 용이하도록 발광물을 부착시켜야 한다.,공통,예방 조치
"작업장의 주 출입구, 장비 및 차량의 통행이 빈번한 장소 등 위험한 장소에는 경광등을 설치한다.",공통,예방 조치
"안전시설에 부착된 전기시설은 근로자와 접촉되더라도 감전되지 않도록 절연, 접 지 및 잠금 등의 조치를 하여야 한다.",공통,예방 조치
안전시설에 부착된 조명은 통행 근로자의 안면에 정면으로 투광되지 않도록 하여야 한다.,공통,점검 사항
비상통로에는 근로자가 쉽게 식별할 수 있도록 점멸등을 설치하여야 한다.,공통,예방 조치
"사업주는 작업시간이 4시간인 겨우에는 30분 이상, 8시간인 경우에는 1시간 이상의 휴식시간을 작업시간 도중에 주어야 한다.",공통,예방 조치
작업시작 전에 근로자 심신상태를 점검하여 투입여부를 결정하여야 한다.,공통,예방 조치
비상구급 약품을 현장에 비치하고 근로자의 건강관리를 지원하여야 한다.,공통,예방 조치
주간보다 기온이 강하할 우려가 있을 경우는 근로자의 체온이 유지 될 수 있는복장을 착용하도록 한다.,공통,예방 조치
소음 진동 및 비산먼지의 노출기준이 초과하는 경우에는 적절한 작업환경개선을 하여야 한다.,공통,예방 조치
사업주는 전력사용량 급증으로 인한 과전류 및 과열 등에 대하여 점검을 실시하 여야 한다.,공통,점검 사항
소화기 및 소화기구 등 필요한 소화설비와 방독마스크 등 보호장구를 비치하고 비치장소의 식별이 용이하도록 반사용 표지를 부착하여야 한다.,공통,예방 조치
기온 강하시에 근로자가 임의로 불을 피우지 않도록 통제하여야 한다.,공통,예방 조치
작업시 반드시 신호수를 지정하여 운영하여야 한다.,공통,예방 조치
신호방법은 유?무선 통신이나 발광체를 이용한 수신호로 하되 작업여건에 따라 병행 또는 선택하여 신호할 수 있다.,공통,예방 조치
신호방법은 작업 전에 결정하고 근로자에게 반드시 주지시켜야 한다.,공통,위험 경고
작업전 반드시 신호체계를 구비하여야 한다.,공통,예방 조치
신호체계는 가능한 단순해야 하며 관련 근로자가 동시에 인식할 수 있도록 하여야 한다.,공통,예방 조치
작업 전에 결정된 신호체계를 근로자에게 반드시 주지시켜야 한다.,공통,위험 경고
정해진 근로자 이외의 모든 사람에 대한 작업장 출입을 통제하여야 한다.,공통,예방 조치
정해진 차량 이외의 모든 차량에 대한 작업장 출입을 통제하여야 한다.,공통,예방 조치
야간작업 개시와 종료시에는 관리감독자에게 보고하여야 한다,공통,예방 조치
야간작업일지를 기록하고 다음 작업반(조)에게 인계인수를 철저히 하여야 한다.,공통,예방 조치
"근무조 교대시 소화기, 비상조명기기 및 전원스위치 위치를 다음 작업반에게 알려주어야 한다.",공통,예방 조치
야간작업에 투입된 모든 차량 및 건설장비는 전조등을 켜야 하며 후진시 경고음 을 작동하여야 한다.,공통,예방 조치
야간작업에 투입된 모든 차량 및 건설장비의 운전원에게 신호수의 신호를 준수 하도록 신호방법 및 신호체계를 미리 주지시켜야 한다.,공통,예방 조치
비상시 근로자가 어느 위치에서든지 안전하게 대피할 수 있도록 대피계획을 수 립하고 비상연락망을 작성하여 이를 근로자에게 반드시 주지시켜야 한다.,공통,예방 조치
야간 응급실을 갖춘 종합병원을 사전에 지정하여 비상연락체계를 유지하여야 한다.,공통,예방 조치
"통신시설, 응급조치시설, 비상시 구난장비 등을 작업 전에 점검하여야 한다.",공통,점검 사항
 작업여건에 따라 필요시 작업 전에 비상시 긴급안전조치에 대한 모의훈련을 실시하도록 한다.,공통,예방 조치
"비상탈출을 위한 비상구의 이상 유무와 비상통로의 점멸등의 작동여부를 확인하고, 비상구 위치를 근로자에게 미리 알려 주어야 한다.",공통,점검 사항
"손전등, 양초 등 비상조명기구를 휴대시키거나 비상전원을 확보하여야 한다.",공통,예방 조치
정전에 대비한 비상연락체제를 사전에 구축하여야 한다.,공통,예방 조치
"사업주는 적정한 조명이 확보되지 아니한 경우, 정전이 예고된 경우, 강풍,강우,강설,혹한 시 옥외작업, 안전시설, 안전표지판, 교통표지만 및 근로자의 안전장구가 미비한 경우, 기타 야간작업 안전?보건 조치가 미비한 경우 야간작업을 금지시켜야 한다.",공통,위험 경고
단위공종별 작업을 시작하기 전에는 위험성평가를 실시하고 세부 단위작업별 허용 가능한 위험범위 이내가 되도록 작업방법을 개선한 후가 아니면 작업하지 않도록 하여야 한다.,굴착공사,점검 사항
"공사 착수 전에 본 공사 시행으로 인한 인접 제반 시설물 및 지장물에 피해가 없도록 안전대책을 수립함은 물론 이에 대한 현황을 면밀히 조사, 기록, 표시하여야 하며, 인접 제반 시설물의 관계기관에게 확인시킨다.",굴착공사,점검 사항
"관리감독자는 우물통기초공법을 시공함에 있어 필요로 한 안전한 작업방법 및 순서에 대하여 교육을 받지 않은 근로자는 작업에 투입시키지 않아야 하며, 작업 중 근로자의 떨어짐 또는 끼임 등의 위험이 있다고 판단되는 때에는 작업을 중지하여야 한다.",굴착공사,예방 조치
"우물통 거치 전에 관계기관과 협조하여 항로에 지장이 없도록 하며, 선박사고에 대비하여 관계기관과 비상연락망을 구축하여야 한다.",굴착공사,예방 조치
"작업 중에는 공사장 내부에 외부인의 출입을 통제하여 안전사고를 미연에 예방하고, 현장상황에 적합한 안전시설을 설치해야 한다.",굴착공사,예방 조치
"수시로 일기예보를 확인하여 파고가 높거나 풍속이 클 것으로 예상되는 경우에는 작업을 시작하지 아니 하여야 하며, 작업 중 예상하지 못한 기상악화가 있는 경우에는 작업을 중지하여야 한다.",굴착공사,예방 조치
예인선의 흘수(수면으로부터 선체의 가장 깊은 곳까지의 연직 거리) 및 경심(기울어져 있는 선박의 회전 중심) 위치를 수시로 점검하여 수상운송 중의 안전에 만전을 기한다.,굴착공사,점검 사항
수상 주항로 이동 시에는 통선 등으로 선박 통제를 철저히 하고 운항로에는 유도표시를 설치하여 수상에서의 안전사고를 방지하여야 한다.,굴착공사,예방 조치
"강재 거푸집 사용 시에는 반드시 벽체에 작용하는 콘크리트 측압 등에 대한 구조검토를 실시하여 조립도를 작성하여야 하고, 해당 조립도에 따라 시공되도록 하여야 한다.",굴착공사,위험 경고
"우물통 내·외부 비계는 견고한 구조의 작업발판, 안전난간, 승강설비 등을 설치하고 비계설치?해체 작업계획서를 작성하여 근로자의 떨어짐 또는 맞음 재해를 방지하여야 한다.",굴착공사,예방 조치
철근 및 거푸집의 인양 및 운반 시 크레인 및 본 구조물과의 부딪힘을 방지할 수 있도록 신호 체계 및 작업 계획을 수립하고 준수하여야 한다.,굴착공사,예방 조치
"철근 및 거푸집의 인양 및 운반 시 2줄 걸이 등의 안전한 방법으로 실시하고, 필요시 달포대 또는 인양박스를 사용한다.",굴착공사,예방 조치
철근 및 거푸집 운반 시 감전 사고를 예방하기 위하여 주변의 전선은 사용철근의 최대길이 이상의 높이에 배선되어야 하며 이격 거리는 최소한 2 미터 이상으로 한다.,굴착공사,예방 조치
"거푸집 및 브라켓 해체 시 낙하물 방지망, 안전방망 등의 떨어짐 방지 시설을 설치한다.",굴착공사,예방 조치
노출된 철근 및 강선에는 보호캡을 씌우고 위험표시를 한다.,굴착공사,위험 경고
철근 절단 시 철근의 탄력에 의한 재해방지를 위해 절단 부위가 튀지 않도록 주의하여 작업한다,굴착공사,위험 경고
" 철근조립 시 철근 이음위치에 대하여 충분히 검토하고 철근의 무너짐을 방지를 위하여 강관파이프, 와이어로프, 각재 등으로 일정 간격마다 버팀대를 설치한다.",굴착공사,예방 조치
"강재 거푸집의 용접작업 시 감전 사고를 방지하기 위해 교류아크 용접기에 자동전격방지기, 가설전기에 누전차단기 및 접지 등을 설치하며 배선경로 상태 등을 확인하여야 한다.",굴착공사,점검 사항
"타설 작업을 시작하기 전에 해당 작업에 관한 거푸집, 동바리 등의 변형·변위 및 지반의 침하 유무 등을 점검하고 이상이 있는 경우 조치하여야 한다.",굴착공사,점검 사항
콘크리트 타설 시 급격한 침하가 발생되지 않도록 최대한 시간을 두고 여유 있게 타설하여야 한다.,굴착공사,예방 조치
콘크리트 타설 작업 시 거푸집이 무너질 위험이 발생할 우려가 있는 경우 충분한 보강조치를 취하여야 한다.,굴착공사,예방 조치
콘크리트를 타설하는 경우에는 편심이 발생하지 않도록 골고루 분산하여 타설하여야 한다.,굴착공사,예방 조치
콘크리트를 타설하는 경우에는 근로자가 호스의 요동·선회로 인하여 떨어질 우려가 있는 단부작업에서는 특히 주의하여 작업하여야 한다.,굴착공사,위험 경고
"설계도서상의 콘크리트 양생기간을 준수하여 거푸집, 동바리 등을 해체하여야 한다.",굴착공사,예방 조치
"우물통 기초면 고르기를 위한 준설 및 굴착작업 시 장비반입, 굴착토사처리 등의 안전작업계획을 수립하여야 한다.",굴착공사,예방 조치
도면에 표시된 심도와 굴착범위 내에서 굴착토를 제거하고 관리감독자가 승인한 준설범위 내에서 작업을 수행하여야 한다.,굴착공사,점검 사항
기준 준설위치에 준설선을 정박하고 준설토사를 채취하여 토사운반선에 적재하며 미리 지정해 놓은 투기장으로 운반하여야 한다.,굴착공사,예방 조치
투기장에 투기된 굴착토사는 주변으로 유실되지 않도록 조치하여야 하며 굴착토사로 인한 주변 오염 등의 문제가 없도록 하여야 한다.,굴착공사,예방 조치
"수중 암의 발파 작업을 수행하는 경우 수중천공, 장약, 발파의 순으로 작업을 진행하며 크레인과 그래브 준설선을 이용하여 파쇄된 암석을 준설하고 토사운반선에 적재하여 투기장까지 운반하여야 한다.",굴착공사,예방 조치
 기초굴착을 위한 천공 작업 시 발생하는 소음에 대비하여 근로자에게 귀마개를 착용하도록 지시하여야 한다.,굴착공사,예방 조치
"제작된 우물통을 운반할 때 운반 장비에 의한 잡아매기, 들기, 운반, 설치방법 등에 관한 중량물 취급계획서를 작성하고 이에 따라 안전하게 작업을 수행한다.",굴착공사,예방 조치
"크레인을 이용한 우물통 본체 및 조금구 연결 작업 시 본체 내부로 떨어지는 것을 예방하기 위하여 작업발판과 안전난간, 안전대 부착설비 등 안전시설을 설치한다.",굴착공사,예방 조치
"조금구와 체결된 우물통 본체를 크레인으로 인양할 때 부재에 인양용 고리를 견고하게 설치하고 인양하여야 하며, 중량물이 안전하게 거치되기 전까지는 걸이로프를 해제시키지 않아야 한다.",굴착공사,예방 조치
"제작된 우물통을 운반할 때에는 우물통의 중량 및 크기를 고려하여 충분한 성능을 갖는 크레인을 선정하여야 하며, 고리걸이 계획에 따른 와이어로프, 조금구, 크레인의 정격하중 등의 안전성 검토를 하여야 한다.",굴착공사,점검 사항
우물통 본체를 인양 크레인을 이용하여 시공 위치까지 거치시 작업신호를 일원화하여 안전사고에 유의하여야 한다.,굴착공사,예방 조치
"우물통의 인양, 운반, 거치공사 시 충분한 인양능력을 가진 크레인을 투입하고 조금구를 사용하여 우물통 들고리에 동일한 하중이 분배되도록 한다.",굴착공사,예방 조치
"인양 및 운반 과정 중 우물통 본체 및 기타 부재의 넘어짐, 무너짐, 맞음 등에 의하여 근로자에게 위험을 미칠 우려가 있는 경우에는 출입금지구역을 설정하여야 한다.",굴착공사,위험 경고
수상 및 해상에서 들고리 체결을 위해 우물통 위에서 작업을 하는 때에는 반드시 구명조끼를 입고 작업하도록 하여야 하며 육상에서 크레인을 이용하여 우물통 상부로 올라가는 때에는 떨어짐 재해가 발생하지 않도록 관리 감독자를 반드시 배치하여야 한다.,굴착공사,위험 경고
"우물통 거치 시 급격한 조류에 의한 이동을 방지하기 위한 우물통 이동방지 앵커블럭에 대해서는 시공 전에 가설지점의 유속 등을 면밀히 측정하고, 소정의 안전율을 확보할 수 있는 앵커블럭의 제원, 중량 및 시공법에 대하여 검토한 후 시공하여야 한다.",굴착공사,점검 사항
우물통을 거치한 후 터파기 및 발파한 우물통 외부사면을 사석으로 채움으로서 우물통 기초 저면의 세굴을 방지한다.,굴착공사,예방 조치
"수중콘크리트는 재료의 분리를 방지하기 위하여 트레미를 사용해야 하며, 내리거나 올릴 때에는 천천히 작동시켜 주의 깊게 시공하여야 한다.",굴착공사,예방 조치
"작업 중에 지반의 침하, 아웃트리거의 손상 등에 의하여 콘크리트 펌프카가 넘어질 우려가 있는 경우에는 이를 방지하기 위한 적절한 조치를 하여야 한다.",굴착공사,예방 조치
"날끝 거푸집은 제작사양과 조립도의 순서를 준수하고 해체할 때에는 부재를 정리정돈하고 부착된 콘크리트, 유해물질 등을 제거한다.",굴착공사,예방 조치
"굴착 작업 시 우물통의 경사, 이동 및 회전에 주의하며 급격하게 침하가 되지 않도록 한다.",굴착공사,예방 조치
지속적인 위치 및 기울기 확인 측량을 하고 변위 발생 시 적절한 대책을 수립한 후 굴착한다.,굴착공사,예방 조치
양수설비에 고장이 있는 경우나 우물통 내부에 많은 양의 물이 스며들 우려가 있는 경우에는 굴착작업을 하지 않는다.,굴착공사,예방 조치
"우물통 하부 굴착 작업 중 지반의 누수로 근로자가 익사하거나 장비가 수몰되는 사고가 발생할 수 있으므로 누수의 배수, 약액주입 등의 공법으로 차수조치를 철저히 하여야 한다.",굴착공사,예방 조치
크람쉘 굴착의 경우에는 바켓은 우물통 내벽을 따라 강하시켜 날끝 안측을 굴착하여 안전한 시공을 하여야 하며 굴착작업 시 관계자 이외의 출입을 금지하여야 한다.,굴착공사,위험 경고
"발파를 통해 경암질에서 구체를 침하시킬 경우에는 관리감독자의 확인을 받아야 하며, 화약의 운반·보관에 관한 안전대책을 충분히 검토하여야 한다.",굴착공사,점검 사항
잠수부의 특수건강검진을 실시하고 작업 시 신호수 배치로 안전사고를 예방해야 한다.,굴착공사,점검 사항
수중작업의 특수성으로 천공·장약 등이 잠수부에 의존하여야 하므로 경험이 많은 잠수부가 수행하여야 하며 사전교육과 관리가 요구된다.,굴착공사,점검 사항
"잠수부는 잠수병의 위험을 최소화하기 위하여 다이빙 전 충분히 수분을 섭취하고 휴식을 취한 후 서서히 입수하여야 하며, 급격한 압력변화를 막기 위하여 최대한 천천히 수면위로 올라 와야 한다.",굴착공사,예방 조치
"양수작업은 잠수부 작업의 효율을 증대하고 잠수병(감압증) 예방에 필연이기 때문에 양수작업에 많은 시간을 투자하여야 하며, 양수펌프가 고장이 나지 않도록 유지관리를 철저히 하여야 한다.",굴착공사,예방 조치
"양수기 설치 시 양정고, 토출경, 전기, 우물통 내부 침투유량, 내부 침투수혼탁(모래, 자갈 등의 유입) 상태를 면밀히 검토하여야 한다.",굴착공사,점검 사항
수위차로 인하여 순간적으로 물이 우물통 내부로 들어와 장비가 수몰되는 경우가 발생할 수 있으므로 양수 후 건조 상태에서 작업 시 예비양수기를 확보하고 작업원이 구명조끼를 필히 착용할 수 있도록 하여야 한다.,굴착공사,예방 조치
양수기의 누전으로 인하여 감전사고가 발생되지 않도록 누전차단기의 설치 등 누전으로 인한 감전재해를 방지할 수 있도록 하여야 한다.,굴착공사,예방 조치
"침하 중 극심한 편심 및 경사가 발생한 경우에는 속히 그 원인을 조사하여 발주자 대리인에게 보고하고, 대책을 협의한 후 시공하여야 한다.",굴착공사,예방 조치
우물통의 침하 작업 중 필요한 경우에는 잠수부를 동원하여 날끝의 밑깍기를 할 수도 있으나 과도한 밑깍기를 하여서는 아니 된다.,굴착공사,예방 조치
"침하 도중, 유해가스의 발생이나 산소결핍에 의한 재해를 막기 위하여 항상 가스검사를 실시하고 유해가스 발생 및 산소결핍의 우려가 있는 경우에는 환기 등 기타 적절한 조치를 강구하여야 한다.",굴착공사,예방 조치
