지침내용,지침유형,공사종류,
"인양물의 형상, 무게, 특성에 따른 안전조치와 줄걸이 와이어로프의 매단 각도는 60° 이내로 하여야 한다.",점검사항,양중작업,
"이동식 크레인의 작업 중 운전석 이탈을 금지하여야 한다. 운전원이 장비를떠나야 할 경우는 인양물을 지면에 내려놓아야 하고, 구동 엔진 정지 및 브레이크를 작동 상태로 하여 잠금장치를 하여야 한다.",점검사항,양중작업,
"작업 종료 후 지반이 약한 곳 및 경사지에 주, 정차를 금지하여야 한다.",예방조치,양중작업,
"지브의 상태를 안전한 위치에 내려 두고, 운전실의 기동장치 및 출입문의 잠금장치를 작동하여야 한다.",점검사항,양중작업,
"크레인의 작업 종료 시에는 줄걸이 용구를 분리하여 보관하고, 훅은 최대한 감아올려야 한다.",점검사항,양중작업,
재사용 강재 작업발판 사용 시에는 작업장에 작업발판을 반입하는 시점에KOSHA GUIDE C-25-2011(재사용 가설기자재 성능기준에 관한 지침)에 의거작업발판의 재료 성능에 대한 점검을 실시하여 이상여부를 확인하여야 한다.,점검사항,가설구조물,
작업발판의 최대적재하중 및 각 재료별 최대적재수량을 비계의 구조에 따라정한 후 그 내용을 게시하여 근로자가 확인 할 수 있도록 하고 이를 초과하여적재하여서는 아니 된다.,점검사항,가설구조물,
"작업자는 작업계획을 충분히 숙지하고 작업용 로프 및 구명줄, 작업대와 샤클 등 달비계 작업에 필요한 설비와 추락방지에 필요한 안전대 등에 대한 사전 점검을 실시하여야 한다.",점검사항,가설구조물,
로프를 사용 할 경우 건물이나 구조물의 예리한 모서리에 접촉되면 접촉부분이 급격히 손상되므로 가죽이나 고무패드로 로프를 보호하여야 한다.,예방조치,가설구조물,
"작업의자형 달비계 탑승을 위해 안전난간 등 시설물을 넘어 갈 경우에는 시설물의 파손, 탈락 등에 의한 추락, 전도 등의 재해를 예방하기 위해 사전 점검을 철저히 하여야 한다.",점검사항,가설구조물,
작업의자형 달비계 이용 작업 시 작업대에서 과도하게 몸을 내밀어 작업을할 경우 작업대에서 이탈하여 추락할 우려가 있으므로 가급적 무게중심이 작업대에서 벗어나지 않도록 하여야 한다.,점검사항,가설구조물,
"관리감독자는 작업 실시 전에 작업자에게 작업용 로프의 적합한 설비, 작업용
로프의 기본적인 검사방법, 구명줄과 앵커, 작업의자형 달비계의 안전한 사용법,추락방지 시스템과 응급대처 방법 등을 포함한 작업계획에 대한 교육을 실시하여야 한다.",예방조치,가설구조물,
"관리감독자는 작업 용 로프 및 구명 줄, 작 업용 로 프 및 구 명줄 의 고정 점, 구명줄 의조정점, 작업대, 고리걸이용 철구 및 안전대 등의 결손 여부를 확인하여야 한다.",점검사항,가설구조물,
관리감독자는 근로자가 작업대에 탑승하기 전 안전모 및 안전대를 착용하고안전대를 구명줄에 체결했는지 확인하여야 한다,점검사항,가설구조물,
조경공사는 현장여건과 설계도서(도면 및 시방서 등)를 검토하여 안전한 작업계획을 수립하여야 한다.,예방조치,공통,
모든 작업은 사전 위험성평가를 실시하여 잠재위험요인에 대한 안전대책을 수립하여야 한다.,예방조치,공통,
산업안전보건기준에 관한 규칙 별표 3에서 정하는 바에 따라 작업을 시작하기 전에 관리감독자로 하여금 필요한 사항을 점검하도록 하여야 한다.,점검사항,공통,
"작업장의 지형, 지반 및 지층상태 등에 대한 사전조사를 실시하여 산업안전 보건기준에 관한 규칙 별표4의 구분에 따른 사항을 포함한 작업계획서를 작성하고, 그 내용을 근로자에게 주지시켜야 한다.",점검사항,공통,
"차량계 하역운반기계, 차량계 건설기계, 중량물 취급 작업의 작업계획서를 작성하고, 작업지휘자를 지정하여 작업계획서에 따라 작업을 지휘하도록 하여야 한다.",점검사항,공통,
차량계 건설기계 사용 시 작업반경내 관계 근로자외의 사람을 출입금지 조치 또는 <그림 2>와 같이 유도자 배치 등 차량계 건설기계 접촉방지 조치를 철저히 하여야 한다. 또한 장비 운행시 승차석외에 근로자 탑승을 금지하여야한다.,점검사항,공통,
"장비 작업 전에 브레이크, 후진경보등, 후방감지기 등 안전장치의 설치상태 및 과부하방지장치, 권과방지장치 등 방호장치에 대하여 검정기관의 검정 합격 여부, 운전원의 자격여부를 확인하여야 한다.",점검사항,공통,
"강풍(10m/s이상) 등의 악천후 시 식재작업으로 인하여 근로자에게 위험을 미칠 우려가 있는 경우에는 작업을 중지해야 하며, 비, 눈, 그 밖의 기상상태의 불안정으로 날씨가 몹시 나쁜 경우에는 산업안전보건기준에 관한 규칙 제37조 악천후 및 강풍시 작업중지 또는 제383조 철골작업 중지를 준용하여 작업을 중지하여야 한다.",점검사항,공통,
충전전로의 인근에서 작업 시에는 충전부로부터 300센티미터 이상 이격하거나 산업안전보건기준에 관한 규칙 제322조의 충전전로 인근에서 차량․기계장치 작업을 준수 하여야 한다.,점검사항,공통,
"장비 작업구간에는 반드시 유도자 및 작업지휘자를 배치하여 정해진 운행 경로를 확보해야 하며, 화물자동차의 적재함에 근로자를 탑승시켜서는 안된다.",예방조치,공통,
"수목의 운반 및 상․하차 시에는 <그림 3>과 같이 헝겊을 싸서 수목의손상을 방지 하고 대형목인 경우에 체인 블럭이나 이동식 크레인을 사용하여야 한다. 이동식 크레인을 이용하여 상, 하차시 수목이 회전하지 않도록 걸이를 하여야 하며, 크레인 설치시에 넘어짐을 방지하기 위하여 지형 및 주변 상황에 맞게 장비위치를 선정하여야 한다.",예방조치,공통,
"가지치기 작업 시에는 근로자가 떨어지지 않도록 안전대 부착설비 설치 및 안전대를 착용후 작업을 실시해야 하며, 작업 종료시에 주변 정리정돈을 하여야 한다.",예방조치,공통,
"수레 등 운반용구를 이용하여 자재를 운반하는 경우에는 사전에 각륜, 볼트 체결,용접 상태 등 각 부위의 이상 유무를 확인하고 이상이 있을 경우에는 즉시 보완 조치를 하여야 한다.",점검사항,건축,
"건축물 각 층에 설치된 건설용 리프트 승강구내에서 자재운반용 수레를 사용할 경우에는 안전한 통행로를 설치하고, 건설용 리프트의 운반구가 도착하지 않은 층의 출입문은 항상 닫혀 진 상태로 유지하여야 한다.",점검사항,건축,
"차량 적재함에서 벽돌, 블록 등의 자재를 하역할 경우에는 자재더미 상부에 올라가는 등의 불안전한 행동을 하여서는 아니 된다. 팔레트는 평탄하고 견고한 지반에 적재하되, 2단 이하의 높이로 적재하여야 한다.",점검사항,건축,
"조적벽체 시공의 정확성 및 안전성을 확보하고, 벽체붕괴에 따른 재해를 예방하기위하여 규준틀을 설치하고 수평계, 수직내림추를 사용하여 수평, 수직도를 계측하고 점검하여야 한다",점검사항,건축,
"조적벽체의 출입문, 창문, 설비배관 주위의 충전재로 우레탄 폼을 사용할 때에는 주변에서 용접불똥, 산소불꽃 등을 발생하는 작업을 하지 않아야 하며 작업장 주위에 소화기를 갖추어 두어야 한다.",예방조치,건축,
"조적작업에 사용되는 혼합기, 전동드릴 등의 전동 기계․기구는 배선상태가 양호한 것을 사용하고, 누전차단기 및 접지가 안전기준에 적합하게 설치된 분전함에 접속하여 사용하여야 한다. 또한, 전동 기계․기구는 배선 및 절연상태를 수시로 점검하고, 물에 젖은 손으로 사용하여서는 아니 된다.",예방조치,건축,
"조적공사용 철골, 철근의 조립작업에 아크용접기를 사용할 때에는 화재․폭발, 화상 등의 재해를 방지하기 위하여 방염포를 설치하고, 인화성물질을 제거한 후 소화기를 갖추어 두어야 한다.",예방조치,건축,
관로 굴착 후 관로 매설작업 중 토사의 무너짐,위험경고,굴착공사,
관거 연결작업을 진행하던 중 기존에 매립된 상하수도관의 파열로 누수가 발생하여 불안정해진 굴착경사면이 무너짐,위험경고,굴착공사,
되메우기 작업을 위해 후진하던 굴삭기(백호우)에 부딪침,위험경고,굴착공사,
굴삭기로 자재 상차작업 중 버켓에 맞음,위험경고,굴착공사,
맨홀내부 작업중 산소결핍에 의한 질식,위험경고,굴착공사,
"굴착위치에 상·하수도관, 가스관, 전기통신관, 고압케이블 등 기존의 지하매설물이 설치되어 있는지의 여부를 관계기관 지하매설물 현황도를 확인하고줄파기를 통하여 매설물을 노출시켜야 하며 필요시 이설 또는 보호조치를하여야 한다. 또한 지상의 장애물에 대한 상황을 조사하여 시공에 차질이없도록 조치하여야 한다.",점검사항,굴착공사,
"굴삭기, 이동식크레인, 차량계 건설기계 등을 현장에 반입할 경우에는 해당
장비이력카드를 확인하여 관련 법령에 의한 정기검사 등 이력을 확인하고,작업 시작 전에 브레이크, 클러치 및 운전장치의 기능 등을 점검하여야 한다.",점검사항,굴착공사,
"전기 기계․기구의 누전여부, 접지선의 접속 확인, 케이블의 손상여부에 대해서 점검을 실시하고, 와이어로프의 이상유무 확인 등 달기구를 사용하기 전에 점검을 실시하여야 한다.",점검사항,굴착공사,
"굴착장소의 장해물, 굴착잔토 적치장, 작업구역 내 가설기자재 등의 임시 적치상태, 산소결핍과 유해가스의 위험이 있는 장소, 지반의 상태 등 굴착 위치를 사전에 확인하여야 한다.",점검사항,굴착공사,
"인력 등으로 줄파기를 실시하여 지하 매설물(상․하수도관, 도시가스관, 전력구, 송유관 등)의 위치를 재확인하고 위치표시를 점검하여야 한다.",점검사항,굴착공사,
"부딪힘, 끼임 등 재해를 예방하기 위하여 흄관, 주철관, PE관 등의 인양 시에는 중량물 작업범위 내에 근로자의 접근을 통제하도록 하여야 한다.",예방조치,굴착공사,
관 이음부 작업을 위해 굴착 하부의 단면을 넓히는 경우 역구배를 이루게 되어 이음작업이나 접합작업시 토사 무너짐에 의한 매몰로 사망재해가 발생되고 있으므로 이음부의 토사붕괴 방지를 위해 굴착구배 확보 또는 흙막이지보공을 설치하여야 한다.,예방조치,굴착공사,
굴삭기를 사용하여 토사 반출작업을 하는 때에는 버켓 하부에 근로자가 출입하지 못하도록 안전 휀스를 치는 등 출입금지조치를 실시하여야 하고 안전교육 등을 통해 근로자에게 현장의 위험요인을 사전에 주지시켜야 한다.,예방조치,굴착공사,
"굴착선단부에는 굴착토를 적치하지 않으며, 굴착토는 최소 굴착깊이 만큼 이격시켜서 적치하도록 하여야 한다.",예방조치,굴착공사,
"기성제품의 맨홀을 인양, 운반시에는 중량물 취급 안전에 적합하도록 인양물 아래에는 출입금지조치, 신호수 배치, 달기구 점검 등의 안전조치를 하여야 한다.",점검사항,굴착공사,
"작업 전 산소농도(18% 이상)를 측정하고 유해공기의 농도가 기준농도를 넘어가지 않도록 환기설비를 설치하여 충분한 환기를 실시하여야 한다. 또한,작업장소에서 메탄가스, 황화수소 등의 가스가 발생할 가능성이 있을 경우에는 계속 환기를 실시하고 출입하지 않아야 한다.",점검사항,굴착공사,
굴착공사 착공 전에 관계기관의 협조를 받아 가스관 탐지기 등을 이용하여가스관의 매설위치를 확인한다.,점검사항,굴착공사,
"가스관 근접 장소에서의 화약 발파작업을 금지하며, 부득이 가스관 근접장소에서 작업을 하는 경우에는 버력의 비산 및 진동에 대비한 보호 조치를 강구한 후 작업을 하여야 한다.",예방조치,굴착공사,
기존 하수도관을 절단하여 장기간 방치하여서는 아니되며 대체시설은 우기를 감안하여 기존 하수도관 이상의 크기로 설치하여야 한다.,예방조치,굴착공사,
하수도관에 근접하여 굴착할 때에는 기존 하수도의 노후 상태를 조사하여 적합한 보호대책을 강구하고 지반이완으로 하수도 연결부가 틈이 생기는 일이 없도록 하여야 한다.,예방조치,굴착공사,
소형 브레이커에 의한 케이블 또는 관로의 파손 방지를 위하여 케이블 매설장소 부근은 표면층을 제외하고는 인력굴착을 하고 공사 착수 전에 시험굴착을 하여야 한다.,예방조치,굴착공사,
"지반개량 작업 중 약액 주입재료가 관로 안으로 유입되어 고결됨으로써 케이블의 설치작업이 불가능하게 되는 경우에 대비하여 사전에 관계기관과공법, 시공시기, 대책 등에 대하여 협의한다.",예방조치,굴착공사,
흙막이지보공 토류판의 틈새로 토사가 유출되어 관로가 침하되는 것을 예방하기 위하여 굴착부근의 지반침하 및 관로의 방호상태를 점검하 고 이상 발견시는 응급처치를 함과 동시에 신속히 관계기관에 통보하여야한다 .,예방조치,굴착공사,
"지하매설물별로 관리자가 보관하고 있는 대장을 열람하여 전력선, 전화선,가스관, 수도관, 하수관, 공동구 등의 시설에 대해 평면 및 밸브차단위치,구조, 규격, 수량, 상태 등을 관계자와 협의 및 확인여부",점검사항,굴착공사,
"설계자는 데크플레이트 조립 및 콘크리트 타설시 추락재해를 예방할 수 있도록 안전난간, 안전방망, 안전대 부착설비, 안전한 작업발판 등을 설계시반영하여야 한다.",예방조치,가설구조물,
데크플레이트는 자중과 작업하중을 고려한 단면설계 및 바닥 중앙의 휨보강등 구조적 강성을 확보토록 설계하여 콘크리트 타설 시 붕괴에 대하여 안전하도록 설계하여야 한다. 특히 보와 접합되는 단부에 콘크리트 누설방지 등 틈이 없는 바닥판 구조로 설계하여 안전성을 확보하도록 설계하여야 한다.,예방조치,가설구조물,
"데크플레이트 걸침길이 부족, 개구부․단부 안전난간, 안전방망, 안전대 부착설비 등 안전시설 미비 등으로 인한 추락",위험경고,가설구조물,
데크플레이트 운반 시 공동 작업자와 작업상 호흡 불일치 또는 피로의 누적 등에 따른 추락,위험경고,가설구조물,
"출입금지구역 설정, 틈이 없는 바닥판 구조, 수직보호망, 방호선반 등 안전 시설 미비, 예기치 못한 돌풍 등으로 인한 낙하․비래",위험경고,가설구조물,
"보와 접합되는 단부에서 콘크리트 누설, 구조적 강성 미확보에 따른 붕괴",위험경고,가설구조물,
전동기계기구 사용 시 누전 등으로 인한 감전,위험경고,가설구조물,
"데크플레이트 반입, 양중, 조립․설치, 용접, 콘크리트 타설 등 각 작업 단계별 작업방법과 순서, 근로자와 장비에 대한 안전조치 사항 등이 포함된 작업계획서를 수립하여야 한다.",점검사항,가설구조물,
"작업계획서는 데크플레이트 작업에 풍부한 경험과 지식을 갖춘 사람이 수립하여야 하며, 공사 중에는 계획서의 내용이 제대로 이행되는지의 여부를 정기적으로 확인할 수 있도록 하여야 한다.",점검사항,가설구조물,
"데크플레이트는 미끄러워 발을 헛디딜 위험성, 햇빛 반사로 인한 눈부심현상과 같은 특징을 가지고 있고 특히 고층에서 작업이 이루어지는 경우가 많으므로 안전대 사용, 안전난간설치, 추락방지망 설치 등과 같은 추락방지 대책을 강구하여야 한다.",점검사항,가설구조물,
데크플레이트는 비교적 풍압을 받기 쉬운 특징을 가지고 있기 때문에 돌풍이나 바람 등에 의해 날리는 위험을 방지하기 위하여 일기예보를 수시로 파악하여 강풍․강우 등 악천후가 없는 기간에 작업을 완료할 수 있도록 작업계획을 수립하여야 한다.,예방조치,가설구조물,
"고압 가공전로, 전기․통신케이블 등 장애물 현황 등을 사전에 조사하고, 가공전로에 근접하여 작업할 때에는 가공전로를 이설하거나 절연용 방호구를 장착하도록 하는 등의 가공전로 접촉방지 조치를 하여야 한다.",예방조치,가설구조물,
"작업자를 배치할 때는 작업환경, 작업의 종류ㆍ형태ㆍ내용ㆍ기한, 작업조건 등의 작업 특성과 연령, 건강상태, 업무경력, 경험한 정도 작업자의 특성을 개개 근로자별로 고려해서 작업배치 적정여부를 결정하여야 한다. 특히 데크플레이트 설치작업은 고층에서 작업이 이루어지므로 고소공포증, 고령자, 고혈압 질환자 등은 배제시켜야 한다.",점검사항,가설구조물,
하중을 고려하여 적절한 슬링 와이어 로프(Sling wire rope)를 사용하고 인양용 받침대(Sleeper)를 이용하여 4지점 체결 후 양중하여야 한다. 특히 데크플레이트와 와이어 로프가 접촉하는 부위에 적당한 완충재를 사용하여 데크플레이트의 변형과 와이어 로프의 손상 등을 방지하여야 한다.,예방조치,가설구조물,
"강풍으로 인한 데크플레이트나 부속자재 등이 바람에 날리거나 전도되지 않도록 풍속별로 안전조치 계획을 수립하고, 특히 10분간 평균풍속이 10m/sec를 초과하는 경우에는 작업을 중지하고 데크플레이트를 결속하는 보강재를 설치하고 철골보 등에 로프 등을 이용하여 고정하여야 한다.",예방조치,가설구조물,
보 경간이 넓은 경우 데크플레이트의 휨 현상 발생 및 집중하중에 의한 붕괴위험이 크므로 필요시 중앙부 처짐을 방지하기 위해 지보재 등을 사용하여 설치하여야 한다.,예방조치,가설구조물,
"가설통로, 안전시설, 작업발판 등은 안전기준에 적합하게 설치하여야 한다. 또한 콘크리트 타설 전 가시설물의 설치상태를 점검하고 이상 발견 시에는 즉시 보수하여야 한다.",예방조치,가설구조물,
"낙하방지·방호시설은 제작사가 작성한 매뉴얼의 안전성 입증 자료 등을 참조하여 건축구조기술사가 현장상황, 낙하 시뮬레이션 결과, 풍하중 및 하중 상황 등을 확인하고 구조검토하여 상세 조립도, 안전작업 절차서 등을 포함한 설계서를 작성하여야 한다. 또한 작성된 설계서는 시공사 또는 감리사(감독관 포함) 등의 건축구조기술사가 재검토하여 이를 승인한 후 설치하여야 한다.",점검사항,건축,
"초고층공사용 낙하물 방지망은 콘크리트 구조물 거푸집 작업층이나 철골조바닥 콘크리트 타설층, 해체공사 작업층 하부로부터 수직거리 9m 이내, 수평 내민길이 3m 이상으로 설치하되, 자재 및 공구 등의 낙하에 대해 충분한 낙하방호 성능을 유지하고 풍하중에 안전토록 사전설계하여 설치한다 .",점검사항,건축,
"최상층부 또는 상부층에 설치되는 SCN 등 낙하방지 선행공법 가시설의 경우 상부에 부착되는 일체식  낙하물 방지망 , 방호선반 등을 낙하 위험범위의 최소 수평거리를 준수하여 설치할 수 있고, 이 경우 부착된 가시설을 포함하여 전체 가시설에 대한 구조검토 및 조립도를 작성하여야 한다.",점검사항,건축,
"공사 시작 전에 위험성평가를 실시하여야 하며, 위험성평가는 1단계(종합시공 계획서)에는 착공 전 전체 공종에 대하여 공법 및 투입장비 등에 관하여 실시하고, 2단계(공종별 시공계획서)에는 공종별로 해당 공종 시작 전에 실시하고, 3단계(단위공정 시공계획서)는 공정별로 단위공사 투입 전에 실시하여, 거시적·미시적으로 실시하는 것을 원칙으로 한다.",점검사항,공통,
특수가설장비를 현장에 반입한 경우에는 관리감독자가 구조검토서에서 정한 부재의 성능을 확보한 자재인지를 검수하고 부재의 변형 또는 손상 등 이상 유무를 확인하고 조립을 승인하여야 한다.,점검사항,공통,
"특수가설장비는 장비별로 관리감독자를 지정하고 운영하여야 하며, 관리감독자는 구조검토서 및 매뉴얼에서 정한 내용을 숙지하고 안전한 작업이 될 수 있도록 관리감독하여야 한다.",점검사항,공통,
"낙하물방지망, 추락방지망 등 안전시설물은 자중, 풍압, 방지하고자 하는 낙하물 또는 사람의 낙하로 인한 충격하중 등에 충분히 견딜 수 있는 지지점 강도를 발현하는 개소에 설치하여야 한다.",점검사항,건축,
"작업발판의 끝에는 발끝막이판을 설치하여야 하며, 수직방망을 설치하는 등 바람에 날리어 물체가 떨어지는 것을 방지하거나 바람에 날릴 우려가 있는 물건을 방치하여서는 아니 된다.",점검사항,건축,
"낙하물방지망은 고층으로 올라감에 따라 바람의 영향 등이 크게 발생되므로
낙하물의 제거 및 보수의 어려움 등으로 인하여 가능하면 수직보호망을 설치하는 것으로 하며, KOSHA GUIDE C-26-2011(낙하물방지망 설치 지침) 5항(1)호에 따라 수직보호망을 완벽하게 설치한 경우에는 첫 단만을 설치하고그 이외의 낙하물방지망은 설치하지 않을 수도 있다.",점검사항,건축,
"용접작업 등 화재의 위험이 있는 작업을 수행하는 때에는 방화관리책임자의 입회하에 작업을 수행하여야 하며, 용접 불꽃으로 인한 점화원이 화재로 연결되지 않도록 충분한 안전조치를 취하여야 한다.",점검사항,건축,
"발화물질, 인화물질 등을 반입하는 때에는 지정된 관리감독자의 승인을 득한 후 반입하여야 하며, 이를 임시로 적재하는 때에는 적재장소의 허가 절차와 화재예방을 위한 특별조치를 취하여야 한다.",예방조치,건축,
"폐공간 작업(이하 “갈탄, 목탄, 연탄난로 등을 사용하는 콘크리트 보온 양생 작업”을 포함한다)은 사업장 내 밀폐공간의 위치 파악 하고, 질식·중독 등을 일으킬 수 있는 유해·위험 요인의 파악 및 관리 방안, 사전 확인이 필요한 사항에 대한 확인 절차, 안전보건교육 및 훈련, 그 밖에 밀폐공간 작업 근로자의 건강장해 예방에 관한 사항이 포함된 밀폐공간 작업 프로그램을 수립·시행하여야 한다.",점검사항,공통,
"밀폐공간에서 작업을 하는 경우 작업 전, 작업 중에 적정 공기 상태가 유지되도록 충분히 환기하여야 한다. 작업장의 여건 등으로 환기가 곤란한 경우 근로자에게 공기호흡기 또는 송기마스크를 지급하여 착용토록 하여야 한다.",예방조치,공통,
"밀폐공간 내에서 양수기 등의 내연기관을 사용하거나, 석유난로를 이용한 콘크리트 양생작업과 같은 작업을 하는 과정에서 유해가스가 계속 발생할 가능성이 있을 경우에는 산소 및 유해가스 농도를 연속 측정하여야 한다.",예방조치,공통,
"밀폐공간에는 밀폐공간에는 관계 근로자가 아닌 사람의 출입을 금지하고, 출입금지 표지를 밀폐공간 근처의 보기 쉬운 장소에 게시하여야 한다.",예방조치,공통,
"밀폐공간에 근로자를 입장시킬 때와 퇴장시킬 때마다 인원을 점검하여야 하며, 이를 위해 작업현황판 등을 게시하여 작업내용, 작업인원, 작업시간, 산소 및 유해가스 농도 측정 여부를 파악할 수 있도록 한다",예방조치,공통,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
