공사종류,지침유형,지침내용
굴착공사,예방조치,굴착공사 진행 중 사전 조사된 결과와 상이한 상태가 발생한 경우 굴착면의 안전기울기 보완을 위한 정밀조사를 실시하여야 하며 그 결과에 따라 안전기울기를 변경해야 할 필요가 있을 때에는 안전기울기 기준이 결정될 때까지 해당 위험작업을 중지하여야 한다.
굴착공사,예방조치,굴착작업 시 지반의 지질 상태에 따라 굴착면의 기울기를 안전하게 유지하여 무너짐 위험에 대비하여야 한다.
굴착공사,예방조치,지반의 종류에 따라 굴착면의 안전기울기를 준수하여야 하며 필요시 충분한 보강을 실시해야 한다.
굴착공사,위험경고,자연지반은 매우 복잡하고 불균질하며 굴착비탈면은 굴착후 시간이 경과함에 따라 점차 불안정해지며 강우 등의 주변 환경 변화에 따라 비탈면 안정성이 저하되므로 이들을 고려한 안정성 검토 및 보호ㆍ보강대책이 이루어져야 한다.
굴착공사,예방조치,리핑암의 경우 비탈면 높이가 10 m 이상일 경우에는 매 5.0 m 마다 폭 1 m의 소단을 설치하도록 한다.
굴착공사,예방조치,비탈면 높이에 관계없이 흙과 암과의 경계나 투수층과 불투수층과의 경계에는 필요에 따라 소단을 설치하고 용수발생 시 소단에 유도 배수로를 설치하여야 한다.
굴착공사,위험경고,풍화가 빠른 암반 균열이 많은 암반 바둑판 모양의 균열이 있는 암반 등 붕괴위험이 있는 암반 굴착비탈면의 경우에는 반드시 이를 고려하여 안전성을 검토하여 안전기울기를 결정해야 한다.
굴착공사,점검사항,암반 굴착의 경우 지표지질조사 및 시추조사에 의하여 파악된 절리의 방향성과 발달 상태에 따라 안정해석을 실시하여 안전기울기를 결정하여야 한다.
굴착공사,점검사항,굴착비탈면 상부의 지표면 변화 비탈면의 지층 변화부 상황 부석의 상황 변화 결빙과 해빙에 대한 상황 각종 비탈면 보호공의 변위 및 탈락 유무를 작업 전 작업 중 작업 이후 우기 이후에 개별적으로 실시하여 점검하여야 한다.
굴착공사,위험경고,굴착작업 시 주변지반이 침하하는 것에 주의하고 관계자의 입회하에 굴착비탈면의 안전에 필요한 조치를 취하여야 한다.
공통,위험경고,돌관작업으로 안전보건 조치가 불량하여 중대한 사고 발생 위험이 있는 경우 공사를 중단하도록 하고 해당 위험에 대한 안전보건조치가 완료된 후 공사를 재개하여야 한다.
공통,예방조치,근로자 동원 계획 수립 시 근로기준법에서 정한 근로시간을 초과하지 않도록 한다.
공통,예방조치,교대근무 편성 등으로 충분한 휴식시간을 확보한다.
공통,예방조치,근로시간이 4시간 이상인 경우에는 30분 이상 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 한다.
공통,점검사항,위험성평가에는 동일 장소에 다수의 건설장비 운용시 충돌 협착 위험 인화성물질 가연성가스 사용과 용접 용단 등 화기사용 작업시 화재․폭발 위험 구조물 또는 흙막이공사시 붕괴 위험 상 하 동시작업에 따른 낙하 위험 등에 대한 평가가 포함되어야 한다.
공통,예방조치,근로자 식별이 용이하도록 야광 반사조끼 지급 및 착용 계획을 수립한다.
공통,예방조치,장비 전락 방지를 위한 가설설도로 조명 및 점멸등 설치 계획을 수립한다.
공통,예방조치,작업장까지 안전하게 이동하기 위한 안전통로 설치계획을 수립한다.
공통,위험경고,동시 작업으로 발생할 수 있는 위험요인을 최소화 하도록 관리한다.
공통,예방조치,현장 임의출입을 방지하기 위한 조치를 한다.
공통,예방조치,발주자․설계자․건설사업관리자는 공사 목적물의 건설공사에서 발생하는 유해 위험요인이 제거 또는 최소화할 수 있는 공사방법이 적용될 수 있도록 설계에 반영한다.
건축,예방조치,석면 및 석면이 함유된 자재사용이 설계에 반영되지 않도록 유의한다.
건축,예방조치,사용 중 파손 절단 등 손상 발생으로 인한 재해예방을 위하여 자재 선정에 유의한다.
가설구조물,위험경고,이동식 작업대차는 풍하중 등의 수평하중에 대한 안전성을 확보하여야 하며 10m/sec이상의 강풍시에는 이동식 작업대차의 이동 등의 작업을 행하여서는 안된다.
양중작업,예방조치,인력으로 운반이나 취급이 어려운 무거운 자재는 가능한 기계화 작업방법으로 시공할 수 있도록 설계에 반영한다.
건축,예방조치,시설물의 유지관리가 용이하도록 개․보수 및 청소를 위한 전용통로 설비의 설치 및 제거가 용이한 반입구 등을 설계에 반영한다.
굴착공사,위험경고,장마철 해빙기에 굴착공사를 수행할 경우에 대비하여 빗물유입 지반연약화 등 붕괴위험 요인을 고려하여 안전성검토를 실시한다.
건축,예방조치,해체 및 개․보수 공사 시에는 기존 구조물의 균열 붕괴사고 예방을 고려한 시공법을 검토하여 설계에 반영한다.
가설구조물,예방조치,철근콘크리트 구조를 시공하기 위하여 거푸집동바리를 설계하는 경우 구조검토를 통하여 안전성을 확보하여야 하며 동바리 설치높이가 4m를 초과하는 경우 가능한 지주형식 동바리(시스템동바리) 등으로 설계에 반영한다.
가설구조물,점검사항,설계에 반영된 가설구조가 시공 중 일부 또는 전부의 변경이 발생할 경우 변경구조의 안정성 검토 관련사항을 설계에 명기한다.
교량,위험경고,공법의 특성상 중량 장소에서 14㎏크로톡 반복하여 제장 사용하므로 작작장의 취치오차는 주형이 제작될수록 누적되어 전체 교량의 선형에 영향을 미치므로 슬라이딩 레일(Slidin)을 설계하여야 한다.
교량,위험경고,임을 시 슬라이딩 패드에 코트한 활일락 압력텍이 작용하여 스트랜드(Strand)의 클럭세이션(Relaxation)이 발생하지 않도록 수시로 확인 점검하여야 한다.
교량,위험경고,콘크리트 타설 후 굳기전 압축력의 손실과 장력의 가동이 손실되지 않도록 하여야 한다.
교량,위험경고,타워크레인은 설치 사용 전에 관계가관으로부터 안전인증을 받아야 하고 작업시 인양하중에 적정한 것이아프트를 사용하고 작업안전대 르로자의 접근을 금지시켜야 한다.
교량,위험경고,거더 압출 시 콘각락 접적 등을 방지하기 위한 마고럼판(Sliding Pad) 삼입방법 등을 사전에 철저히 고료시켜야 한다.
교량,위험경고,압출이 원활히 되어는 쥬이 브로커바를 하여 손드하감 습기 등에 의한 고착현상이 발생하지 않도록 주의하여야 한다.
교량,예방조치,제작장은 명답성을 위하여야 하며 부족한하가 발생하지 않도록 충분한 기초지반의 지지력이 확보되어야 한다.
교량,예방조치,철토사면은 필요시 부석의 낙하나이 고려하여(Sliding) 방지를 하하여 사막 보호 조치를 하여야 한다.
교량,예방조치,제작장 내의 근로자 이동통로에는 가설통로를 설치하고 망추므로에는 안전난간을 설치하는 등 떨어짐 위험 장소에는 추락방지조치를 하여야 한다.
교량,예방조치,추진보의 연도방지를 위한 지주 설치 등 안도방지 조치를 실시하여야 한다.
교량,예방조치,함개트리거의 감인이나 점검은 설치한 설치 및 노임자단가가 설저된 본인면의 전원을 사용하고 작업전선도 피복상상 유무를 확인하며 사용중에는 분체에서 깨곪하게 청소하여야 한다.
교량,예방조치,콘크리트 타설시 지발 다짐 및 형편도가 유지된 곳에 편프카를 설치하며 방음되도 설치하여야 한다.
교량,예방조치,가설팬련 검옹방편 명구난철의 고정작업과 입출 시 미끄럽면의 교체 등을 위하여 교대 교각 및 가교각 등에 수직통로 및 작업발판 안전난간을 설치하여야 한다.
교량,점검사항,축력 LP의 수치 오차는 지상에 설치된 특에서 추을 4개 정도 놀아으라 매 2∼3 m 마다 오차 측검을 실시하고 필요시 보정하여야 한다.
교량,점검사항,추진보의 분체 주상 분에한는는 충분한 안전력을 발휘할 수 있는 체결방식이어야 한다.
교량,점검사항,보일러 가동 전 안전벨브 업력계한 스위치 압축계 자돔경보장치 등의 정상 작동여부를 확인하여야 한다.
교량,점검사항,게단 발판의 측면이 개방되어 있는 경우에는 폭 20cm 이상의 측면 보강재(w)를 설치하여야 한다.
교량,점검사항,압출시 작의 감출종하이 중분한지를 확인하고 압출력 및 압올상태 등 압출장비에 대한 이상유무도 점겅하여야 한다.
교량,점검사항,근로자의 건강상태를 수시점검하여 휴양하여 작업하며 작업임무를 숙지하여야 한다.
가설구조물,예방조치,"갱폼 거푸집과 거푸집이 90°로 만나는 건물 코너부 케이지는 케이지 및 작업발판 간격을 유지할 수 있도록 케이지 및 작업발판의 외측부재를 내측보다 45° 각도로 길게 제작하여 사다리 꼴로 코너 마무리 하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"작업발판 내·외측 단부에는 자재, 공구 등의 낙하를 방지하기 위하여 높이 10 ㎝이상의 발 끝막이판을 설치한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼에는 근로자가 안전하게 구조물 내부에서 작업발판으로 출입 이동할 수 있도록 작업발판의 연결, 이동 통로를 설치하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼이 미끄러질 우려가 있는 경우에는 안쪽 콘크리트 슬라브에 고정용 앵카(타설시 매입)를 설치하여 와이어로프로 2 개소 이상 고정하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"피로 하중으로 인한 갱폼의 낙하를 방지하기 위하여 하부 앵커볼트는 5개층 사용시마다 점검하여 상태에 따라 교체하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"타워크레인으로 갱폼을 인양하는 경우 보조 로프를 사용하여 갱폼의 출렁임을 최소화 한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"발판 폭은 35cm 이상으로 하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,점검사항,"발판의 너비는 18cm 이상으로 하고, 또한 각각의 너비가 같은 크기이어야 한다.",KOSHA GUIDE C-11-2012
가설구조물,점검사항,"발판 높이는 24cm 이하이어야 하고, 동일한 계단에서의 발판 높이는 모두 일정하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,점검사항,"가설계단의 설치를 완료하면 설치상태를 점검한 후에 사용하도록 하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,점검사항,"수급인은 그의 근로자와 하수급인의 근로자로 하여금 단위작업에 대한 안전한 작업방법 및 순서를 결정하게 하고 단위작업 전 과정에 있어서 예상되는 위험요인을 도출하게 하고 위험요인이 허용범위 이내가 되도록 관리하며, 필요한 사항을 지원하여야 한다.",KOSHA GUIDE C-96-2014
가설구조물,점검사항,"설계변경에 따른 계약금액의 조정방법은 수급인이 설계변경을 요청한 경우로 한다.",KOSHA GUIDE C-96-2014
가설구조물,점검사항,"갱폼 설치·해체작업은 사전 작업방법, 작업순서, 점검항목, 점검기준 등에 관한 안전작업 계획을 수립하고, 작업시 관리감독자를 지정하여 전 작업과정을 지휘·감독하도록 하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"작업전 해당 근로자에게 안전작업 계획의 내용을 주지시키고, 특별안전교육을 실시하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"현장에 조립용으로 입고되는 자재(케이지, 발판재 등)는 변형되거나, 비에 맞아 녹슬지 않도록 평평한 바닥에 침목 등을 깔아 보관한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"갱폼자재가 입고되기전 야적장, 조립작업장 등을 준비하고 갱폼 조립 안전작업계획을 수립하여 용접·볼팅 등 조립작업과 인양설비 등을 점검한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"폼타이 볼트는 내부 유로폼과의 간격을 유지할 수 있도록 정확하게 설치하여야 한다. 폼타이 볼트는 정해진 규격의 것을 사용하고 볼트의 길이가 갱폼 거푸집 밖으로 10 cm 이상 튀어나오지 않는 것으로 소요수량 전량을 확인·긴결하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"설치후 거푸집 설치상태의 견고성과 뒤틀림 및 변형여부, 부속철물의 위치와 간격, 접합정도와 용접부의 이상유무를 확인하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,점검사항,"갱폼 인양시 충돌한 부분은 반드시 용접부위 등을 확인·점검하고 수리·보강하여야 한다.",KOSHA GUIDE C-40-2011
굴착공사,위험경고,"집수구는 굴착하는 단계의 지반 보다 최소 30 cm 정도 낮게 설치하고, 굴착공 내부에서의 용수 발생 및 우수의 유입에 대비하여 양수기 및 호스 등의 배수설비를 굴착현장 내에 비치하고 항상 사용할 수 있는 상태로 점검하고 관리하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,위험경고,"굴착공사 과정에서 강우 등에 의한 영향을 받을 우려가 있는 경우에는 작업 전에 주변지반의 상황 등을 점검하여 안전을 확인한 다음 작업하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,예방조치,"굴착 작업장 주변에는 안전난간, 방호울(Fence) 등을 설치하고 출입제한 등의 안전표지는 L.P로부터 약 2 m 정도의 거리에 부착하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,예방조치,"굴착공 내부에는 근로자의 출입에 필요한 사다리 등의 안전한 승강설비 및 L.P 상부에 설치한 지지대와 굴착공의 바닥 사이에 수직 지지로프를 설치하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,예방조치,"발파 작업에 의한 굴착을 하는 경우에는 노동부고시 제2009-51호「발파작업 표준안전 작업지침」등을 준용하고, 관련 법규를 준수하는 등 안전작업 계획을 수립하여 이행하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,점검사항,"보강링은 지상에서 반원 또는 4등분 정도를 가조립하여 굴착기초에 내려 보강링의 삽입위치에서 전체를 조립하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,점검사항,"굴착면과 L.P 사이의 공간은 밀실하게 되메우기를 하고 충분히 다짐하여야 한다.",KOSHA GUIDE C-54-2012
굴착공사,점검사항,"보일러의 압력용기가 규정압력인지를 확인하고, 배관라인의 증기노출도 확인하여야 한다.",KOSHA GUIDE C-54-2012
공통,예방조치,"당해 작업의 관리감독자는 근로자에게 작업장소의 상황과 작업순서 등을 가능한 그림 등을 사용하여 정확하게 지시하여야 하며, 작업 중 예상되는 위험요인과 안전수칙을 충분히 설명하고 그 이행여부를 감독하여야 한다.",KOSHA GUIDE C-11-2012
공통,예방조치,"근로자는 당해 작업에 적합한 개인보호구를 착용하여야 하며, 안전한 작업을 수행하도록 안전수칙을 준수하여야 한다.",KOSHA GUIDE C-11-2012
공통,점검사항,"작업의 안전한 진행을 위하여 근로자의 경험 및 숙련여부를 고려하여 작업에 배치되도록 하여야 한다.",KOSHA GUIDE C-11-2012
공통,점검사항,"사용하는 기기·공구 등은 정상적으로 작동할 수 있도록 작업전에 점검하고 불량공구는 사용을 금지하거나 정비한 다음에 사용하여야 한다.",KOSHA GUIDE C-11-2012
공통,예방조치,고소작업대 작업 전에 근로자에게 작업계획, 안전수칙 등에 대하여 안전교육을 실시하여야 한다.
공통,점검사항,풋스위치의 고정여부 및 연결하는 케이블 파손 여부를 확인하여야 한다.
공통,점검사항,상승이동방지장치(주행차단장치)의 부착상태를 확인하여야 한다.
공통,점검사항,비상안전장치(수동하강밸브)의 작동상태 점검 및 작동설명서를 부착하여야 한다.
공통,점검사항,과상승방지 센서의 설치 위치 및 높이와 작동 이상 유무 등을 확인하여야 한다.
공통,점검사항,비상정지장치의 작동 이상 유무 등을 확인하여야 한다.
공통,점검사항,과부하방지장치의 작동 이상 유무 등을 확인하여야 한다.
공통,예방조치,안전작업계획서 작성 시에는 고소작업대의 종류, 작업의 경로 및 방법, 지면 상태 및 안전장치, 주요 구조부, 와이어로프 등의 점검사항을 포함하여야 한다.
공통,예방조치,작업계획서 내용에는 위험성평가 지원시스템(kras.kosha.or.kr)을 참고하여 위험성평가를 수행하고, 그 결과를 고려하여 안전대책을 수립하여야 한다.
공통,점검사항,사용 장비는 위험기계․기구의 안전인증 고시 제17조(제작 및 안전기준)에 의한 안전인증 여부를 확인하여야 한다.
공통,점검사항,장비의 조작스위치 및 전기장치 표시부의 훼손 여부를 확인하여야 한다.
공통,점검사항,과부하방지장치 등 안전장치의 장착여부를 확인하고, 안전인증기관(구 검정기관)의 인증 합격 여부를 확인하여야 한다.
공통,위험경고,고소작업대 장비의 구조부의 임의 변경을 금지하고, 용접 및 균열 상태를 확인하여야 한다.
공통,예방조치,고소작업대 주요 구조부 변경시 안전인증을 받아 안전성을 확보하여야 한다.
공통,예방조치,작업대 측면에는 바닥면으로부터 10㎝ 이상의 높이로 발끝막이판 등을 설치하여 작업공구 및 자재 등의 낙하로 인한 재해를 예방하여야 한다.
공통,점검사항,고소작업대 지브․작업대 등 각 부위의 이상 유무를 정기적으로 점검하여야 한다.
공통,예방조치,작업구역 내에 관계근로자외의 출입을 통제하여야 한다.
공통,예방조치,아웃트리거는 충분한 지지력 확보를 위한 조치 후에 받침판을 사용하여 설치하여야 한다.
공통,예방조치,작업지휘자를 지정하여 작업계획에 따른 작업을 지휘하도록 하여야 한다.
공통,점검사항,와이어로프 손실 및 구조의 임의 개조 여부를 학인하고, 안전장치의 설치 및 작동상태를 확인하여야 한다.
공통,예방조치,고소작업대의 전도를 방지하기 위하여 수평도를 확인하고, 아웃트리거를 설치한 위치의 지반상태를 점검하여야 한다.
공통,예방조치,고소작업대 작업시 안전한 작업을 위한 작업장내 적정 조도(75Lux이상)를 유지하여야 한다.
공통,예방조치,조작스위치의 오작동을 방지하기 위하여 오조작 방지용 안전커버를 설치하여야 한다.
공통,점검사항,작업대 모든 측면에는 물체나 사람이 낙하 또는 추락하지 않도록 안전난간 등의 설치상태를 확인하여야 한다.
양중작업,위험경고,충전전로의 인근 작업시에는 산업안전보건기준에 관한 규칙 제322조(충전전로 인근에서의 차량․기계장치 작업) 규정에 따라 고소작업대를 충전전로의 충전부로부터 충분한 이격거리를 유지하였는지를 확인하여야 한다.
공통,위험경고,근로자가 임의로 안전장치를 제거하거나 기능 해제를 하여서는 안된다.
공통,예방조치,작업대 위에서 작업 중에 근로자는 안전모, 안전대 등 보호구를 착용하여야 하며, 안전대 부착 설비는 작업대 이외의 곳에 설치하여야 하다.
공통,예방조치,고소작업대의 계획된 작업반경 및 정격하중을 준수하여 작업을 하여야 한다.
공통,예방조치,연약지반에 고소작업대를 설치할 때는 충분한 지지력을 확보하여 침하 및 전도 방지를 위한 조치를 하고 아웃트리거는 타이어가 지면에서 뜨도록 설치하여야 한다.
공통,위험경고,작업대가 상승한 상태에서는 작업대의 수평을 유지하기 위해 중량물의 자재 등을 적재하지 않도록 하여야 한다.
공통,예방조치,경사지에서 작업시에는 차량앞면이 경사면 아래를 향하도록 하고, 바퀴에 고임목을 설치하여야 한다.
공통,위험경고,고소작업대를 인양 또는 양중용으로 사용하는 등 목적 이외의 사용을 금지하여야 한다.
공통,위험경고,비, 눈, 그 밖의 기상상태의 불안정으로 날씨가 몹시 나쁜 경우에는 산업안전보건기준에 관한 규칙 제37조(악천후 및 강풍 시 작업중지) 또는 제383조(작업의 제한) 의 기준을 준용하여야 한다.
공통,위험경고,추락재해예방을 위하여 작업대 상부 안전난간 위에 올라서서 작업하지 않아야 한다.
공통,예방조치,작업 중에 작업대의 안전난간 해체를 금지하고, 탑승 후에 출입문을 고정하여야 한다.
건축,예방조치,고소작업대에서 용접 작업시 불티의 비산방지조치, 소화기 등을 비치하고, 하부에 화재감시인을 배치하여야 한다.
양중작업,예방조치,충전전로의 인근 작업시 산업안전보건기준에 관한 규칙 제322조(충전전로 인근에서의 차량․기계장치 작업)를 준수하고, 감시인을 배치하여 고압선에 접촉하지 않도록 하여야 한다.
공통,예방조치,작업대를 가장 낮게 하강하여 이동하여야 한다.
공통,위험경고,작업대가 상승한 상태에서 근로자를 태우고 이동하지 않도록 하여야 한다. 다만, 이동 중 전도 등의 위험예방을 위하여 유도자를 배치하고 짧은구간을 이동하는 경우에는 그러하지 않다.
공통,예방조치,이동 시 통로의 요철상태 및 장애물의 유무를 확인한 후 전도 등의 위험 방지를 위하여 유도자를 배치하고, 운전자는 전방 시야가 확보된 상태로 유도자의 지시에 따라 이동하여야 한다.
공통,예방조치,기동 스위치는 뽑아서 작업책임자가 보관하고 관리를 하여야 한다.
공통,예방조치,비탈면은 고임목을 설치하고, 주차브레이크를 확실히 제동하여야 한다.
공통,예방조치,작업대 내에 자재 또는 기타 공구의 적재를 금지하여야 한다.
공사종류,지침유형,지침내용
공통,위험경고,용접용단 작업 시 불꽃, 불티 등 점화원 발생과 작업장소에 근접한 인화성, 가연성 물질과 접촉에 따른 화재예방 조치
공통,위험경고,바람의 영향으로 용접용단 불티가 운전 중인 설비근처로 비산할 가능성 있을 때 작업 중지
공통,위험경고,윤활유, 유류, 인화성 또는 가연성 물질이 덮여 있는 표면에서 작업 금지
공통,위험경고,가연성 벽, 칸막이, 천장 또는 지붕과 접촉하는 배관 또는 금속에 대한 용접용단작업 시 열전도에 의한 발화위험 대비 방호조치 필요
공통,예방조치,용접용단 불꽃, 충격마찰, 스파크, 정전기 등 점화원 장소에서 인화성, 가연성 물질 격리 및 11m 이상 간격 유지
공통,예방조치,작업 근로자에게 내열성능 있는 장갑, 보호복, 안전모, 보안경 등 보호구 지급 및 착용 관리
공통,예방조치,작업장소 근처에 경보용 설비 또는 도구 설치 및 비치로 위급 상황시 신속한 경고 및 전파 조치
공통,예방조치,가연성 물질 및 불티 비산거리 내 벽, 바닥, 덕트 등의 개구부 또는 틈새에 불티 유입 방지를 위한 방염시트 등으로 방호
공통,점검사항,용접용단 작업 전 작업조건, 작업장소 주변 인화성, 가연성 물질 여부 조사 및 위험성 평가를 통한 위험요인 제거, 방호조치
공통,점검사항,작업 전 가스용기 연결부, 호스, 밸브 등의 손상, 풀림 등으로 인한 가스누출 여부 점검 및 잔류가스 확인
공통,점검사항,작업 전 유해가스 체류농도, 산소농도 측정하여 안전 상태 확인
공통,점검사항,작업 중 유해가스 등의 누출·유입·발생 가능성 있는 경우 주기적 가스 농도 측정
양중작업,위험경고,줄걸이 방법에 따른 각 줄의 장력 크기 차이 및 기본안전하중 초과 방지
양중작업,위험경고,화재·폭발 발생 위험 시 즉시 작업 중단 및 용접·용단 장비 가스/전원 차단 후 대피
양중작업,위험경고,다수 용접기 사용 시 접지클램프를 한 곳에 접속시킨 상태에서 동시 작업 금지
양중작업,예방조치,중량물 취급 작업 시작 전 안전보건관리책임자 또는 현장소장의 작업계획서 승인
양중작업,예방조치,작업계획서에 아웃트리거 보강방법 포함
양중작업,예방조치,작업계획서에 작업반경 내 출입금지 조치방법 포함
양중작업,예방조치,작업계획서에 작업구간 동선 및 인력배치도 포함
양중작업,점검사항,작업 참여자의 작업계획서 내용 사전 확인
양중작업,점검사항,주변(선회시) 지장물 간섭 여부 확인
양중작업,점검사항,정차, 아웃트리거 설치위치의 지형·지반 상태 및 지내력 확인
양중작업,점검사항,아웃트리거 최대 펼침 가능 여부 확인
건축,위험경고,석재를 인력으로 들어올리는 작업 시 근로자의 목, 허리 등 근골격계에 무리한 부담을 주지 않도록 해야 한다
건축,위험경고,판 석재를 붙이는 작업 시 손 등의 끼임 재해를 예방하기 위해 붙이는 순서에 의해 판재를 붙이고, 위치 조정 시 무리한 힘을 주지 않아야 한다
건축,위험경고,인양하는 물체의 진행방향에 위험이 없는가를 확인하여야 한다
양중작업,위험경고,기계의 작업범위내에 작업관계자외 출입을 금지시켜야 한다
양중작업,위험경고,승차석 이외의 위치에 근로자가 탑승하지 않아야 한다
양중작업,위험경고,폭풍, 폭우, 폭설 등의 악천후시 작업을 중지하여야 한다
양중작업,위험경고,유자격 운전자를 배치하여야 한다
건축,예방조치,석재의 중량과 형상을 고려하여 무게중심을 낮추고 대상물에 몸을 밀착하는 등 신체에 부담을 감소시킬 수 있는 자세에 대해 근로자에게 알려야 한다
건축,예방조치,석재를 인양할 때는 로프의 굵기, 꼬임, 걸이각도, 손상의 유무 등을 확인한 후에 줄걸이작업을 한다
건축,예방조치,석재붙임과 동시에 석재표면으로부터 3～5 mm 이상의 깊이까지 시멘트 페이스트를 밀실하게 주입 충진하여야 한다
건축,예방조치,바닥 석재 시공 후 근로자의 미끄럼 방지와 석재 표면보호를 위해 보양재로 덮어 주어야 한다
양중작업,예방조치,건설기계 사용시 작업장소의 지형 및 지반 상태 등의 조사 결과를 고려하여 사용하는 기계의 종류 및 능력, 운행경로, 작업 방법 등의 작업계획을 수립 하여야 한다
양중작업,예방조치,유도자를 배치하여 작업을 유도하여야 하고 장비별 특성에 따른 일정한 표준방법을 정하여 신호하여야 한다
양중작업,예방조치,운전석 내부를 청결히 하고 오르내리는 발판 및 손잡이는 항상 깨끗하게 하여미끄러지지 않도록 하여야 한다
양중작업,예방조치,이동식 전동기계·기구는 접지를 실시하거나 누전차단기와 결속하여 절연파손에 의한 감전재해를 예방하여야 한다
건축,점검사항,석재의 무게가 5kg(49N) 이상인 중량물을 들어올리는 작업을 하는 때에는 석재 중량과 무게중심에 대하여 작업장 주변에 안내표시를 하여야 한다
건축,점검사항,사춤모르타르를 혼합할 때는 시멘트 분진에 의한 건강장해를 예방하기위해 방진마스크 등 개인용 보호구를 착용하도록 하여야 한다
건축,점검사항,실란트 작업은 작업발판을 해체하기 전에 하여야 하며, 근로자의 추락재해예방을 위해 안전대 부착설비, 보호구 착용 등에 대한 조치를 하여야 한다
양중작업,점검사항,모든 건설기계는 기계마다 장비일보에 작업명, 기계 조종원, 작업시간, 정비항목 및 정비회사명, 급유사항, 고장 및 이상유무 등 기계의 이력을 모두 기록하여야 한다
양중작업,점검사항,엔진 시동 전에 누수, 누유의 흔적 및 유압장치의 작동여부, 무한궤도, 타이어, 기계장치 등의 이상 유무를 확인하여야 한다
양중작업,점검사항,운전자의 건강상태를 확인하여야 한다
양중작업,점검사항,현장 석재가공 시 발생하는 소음과 분진으로부터 근로자를 보호하기 위해 귀마개, 방진마스크 등 개인보호구를 착용하도록 하여야 한다

